otu	Phylum	Class	Order	Family	Genus	Species	TaxClass	DNA	RNA	CoreStatus	Dataset
07b9db0375df4a5e63c8a479145d4478	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA	Comamonadaceae	1	1	Core	16S
07da22cab5c55a4badb462bcbbded642	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Phyllobacterium	NA	Phyllobacterium	0.9703703703703703	0.3233082706766917	DNA Core	16S
0fa0b493c2c5bc93e87379a327f02372	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	NA	Streptomyces	0.9777777777777777	1	Core	16S
120eba657e42a11a5c29f97b90f02035	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	NA	Streptomyces	1	1	Core	16S
151f25319c8715bb49632a77fb021ad5	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA	Reyranella	1	1	Core	16S
1c2b8892a0d7f828d72808cd01cfd199	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	NA	NA	Devosiaceae	1	1	Core	16S
1d145835e7f0188562322f4eefb02657	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	NA	NA	Xanthobacteraceae	0.9925925925925926	0.849624060150376	DNA Core	16S
1d2a33b40acf001bb98667cf41fbd74e	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	NA	Acidiferrimicrobium	0.9777777777777777	0.3157894736842105	DNA Core	16S
1dc3a7cd36625f81a603740de6b3160b	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA	Rhizobiaceae	0.9851851851851852	0.8345864661654135	DNA Core	16S
209d2a7b32e4fd9500896c1910760c01	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Paludibaculum	NA	Paludibaculum	0.9555555555555556	0.9924812030075187	Core	16S
2141c7953f25a1c4be8b0a47a28a157f	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA	Vicinamibacterales	0.9629629629629629	0.38345864661654133	DNA Core	16S
26005dfb7ad2e8cdbb139846af329663	Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	NA	Niallia	0.9629629629629629	0.6766917293233082	DNA Core	16S
29115e7bd8ef43044853d0193cf6f622	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	NA	Mycobacterium	0.9555555555555556	0.17293233082706766	DNA Core	16S
2e4a2e5ad75f2d321aadefddacb2fca7	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	NA	Acidibacter	0.9925925925925926	0.7819548872180451	DNA Core	16S
40640cca2e35863b7fc44fd2d26716c2	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	Hyphomicrobium	0.9555555555555556	0.5338345864661654	DNA Core	16S
44e2ab81e5e7cff6d965651c707b9479	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	NA	Niastella	0.9555555555555556	0.924812030075188	DNA Core	16S
4608fae4bbc9964cdd17af8782f2155e	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	Massilia	0.9703703703703703	0.9849624060150376	Core	16S
48fb88caf2671016c7c9f0bfca30b52e	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Rhodoplanes	NA	Rhodoplanes	1	1	Core	16S
4d5b8c2c09a9e464f466f3ddc5ab1de5	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_Incertae_Sedis	NA	NA	Hyphomicrobiales_Incertae_Sedis	0.9629629629629629	0.5714285714285714	DNA Core	16S
5b2529faa44a3679b887ecd91b6b4149	Chloroflexota	KD4-96	NA	NA	NA	NA	KD4-96	0.9555555555555556	0.3233082706766917	DNA Core	16S
6472eb8b1e09f892aca2f23182962903	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	NA	NA	Xanthobacteraceae	1	0.9924812030075187	Core	16S
6afa5a7346c82bbb1ba23d7a308e76d9	Pseudomonadota	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	NA	Dongia	1	0.8721804511278195	DNA Core	16S
79029fa983ec4eda60117a273a52cfc0	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	Caulobacter	0.9703703703703703	0.9022556390977443	DNA Core	16S
7ff346973a282aa55de296afdb5d74af	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	Micrococcaceae	0.9851851851851852	0.8421052631578947	DNA Core	16S
