"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","TaxClass","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df","Sig"
"1","f19aacd76ce862b189e5a501048532c0","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",NA,"Tuber",21274.9822966096,-0.494780815914089,0.525871565418156,-0.940877675180356,0.347657926664714,0.495959559717494,FALSE,255.017715595873,"Non Significant"
"2","b377d360bdce2a22cb99301ffb1ecee2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Aquilomyces","Aquilomyces patris","Aquilomyces patris",3542.351962783,-0.449008806083221,0.457487067354531,-0.981467757503316,0.327292330387022,0.47691168142109,FALSE,255.015085942304,"Non Significant"
"3","3782b1eec983583ae70b73271e412731","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber beyerlei","Tuber beyerlei",8032.41032156099,-0.380815470128825,0.560546667622203,-0.679364434979545,0.497523162531452,0.642371678205166,FALSE,255.002356024282,"Non Significant"
"4","baebf8c8711f4dbb26580a8e22eb9a5c","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Tomentella",2101.79569454454,-0.181160610782329,0.512197547409817,-0.353692850929214,0.723861316467411,0.824959265694703,FALSE,255.013281245028,"Non Significant"
"5","7c3aef4593937c6261e78aa899046f62","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum geophilum","Cenococcum geophilum",74139.0819341319,-0.0363255353145055,0.415689293212515,-0.0873862663956915,0.930433056130741,0.961054903547702,FALSE,255.044129969847,"Non Significant"
"6","3b6db377eef259ab689e39034aa8e7f6","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica","Hyaloscypha finlandica",440628.574287251,0.102649895772126,0.125386846319104,0.818665584034922,0.413741588751684,0.566464993995594,FALSE,255.014485252408,"Non Significant"
"7","c5f0c3fa23ad7ecd4e399f89e3bd8901","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma",NA,"Hebeloma",20927.1878123425,0.121365448844176,0.478397655365611,0.253691562830558,0.79993827438869,0.870332842534894,FALSE,255.004404597829,"Non Significant"
"8","eaaa67de4db30c022d8dc22a4dd160f4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe lanatodisca","Inocybe lanatodisca",1373.80939950655,0.277398763551442,0.503054282412359,0.551429086780054,0.581822417560763,0.713898965766593,FALSE,255.006930696063,"Non Significant"
"9","029ecf55ab2ad0aa410842867ed52db9","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota",9370.21027643967,-0.467741850305075,0.338649876740052,-1.38119598568204,0.168427798094827,0.267387321489064,FALSE,255.008403592934,"Non Significant"
"10","2356db269765df4509d35b45b21860f6","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula fulvograminea","Russula fulvograminea",545.75828331711,0.18771338821076,0.419587649763713,0.447375866082973,0.654983416126074,0.770317685205889,FALSE,255.041916400544,"Non Significant"
"11","f014cf675662954222a5ed5d5a4023a9","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina epigaea","Sebacina epigaea",243.753394211215,-0.28837397153416,0.277929229590145,-1.03758058106885,0.300448203504095,0.44414082257127,FALSE,255.008535970406,"Non Significant"
"12","e2bca00a92f5ed8493b7811f0dfea657","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Sarimanas","Sarimanas shirakamiense","Sarimanas shirakamiense",38020.9254751873,0.802015403337219,0.272550252546186,2.94263313221957,0.00355403539094037,0.00771301297608335,TRUE,255.001858251679,"Non Significant"
"13","2372fcd063bd7ea8efdcb179841c1838","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica","Hyaloscypha finlandica",4067.01364061268,3.89865162291595,0.379181716599255,10.2817500218142,5.70431715699629e-21,8.02538413811892e-20,TRUE,255.00851850353,"DNA Enriched"
"14","af5cdc794599c44831c6127d751e0222","Fungi","Ascomycota","Sordariomycetes","Magnaporthales",NA,NA,NA,"Magnaporthales",144.650426091538,0.213141490018457,0.238231681023142,0.894681551601661,0.371801006344502,0.523085553753644,FALSE,255.007233542088,"Non Significant"
"15","f1fd02dffe63105fa2ea2954cfef5def","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena speirea","Mycena speirea",11171.3797245004,0.381185635638672,0.468454988647801,0.813708136055862,0.416571253332386,0.566536904532045,FALSE,255.024242710752,"Non Significant"
"16","f57721dd37945140bce8cae649ebb924",NA,NA,NA,NA,NA,NA,NA,NA,1969.20430743263,0.0690563084277355,0.398041716438946,0.173490128234656,0.86240382206326,0.912563658797585,FALSE,255.005445035401,"Non Significant"
"17","3be527635ff438b63d2f17d0f29758d4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula atroglauca","Russula atroglauca",614.38176061321,-0.170048044449779,0.381010863803169,-0.446307600661032,0.655753800987381,0.770317685205889,FALSE,255.012685369108,"Non Significant"
"18","031cd2e28c0944baba83ec9ff6ceeea8","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Genabea","Genabea cerebriformis","Genabea cerebriformis",3250.70180174271,0.0247864439785598,0.339994231334855,0.0729025427321087,0.941940813895026,0.969708547582521,FALSE,255.029333551123,"Non Significant"
"19","775bbb8702517493e8b2471f4ab520e0",NA,NA,NA,NA,NA,NA,NA,NA,29505.2281520023,-0.0895731838664147,0.190659656520149,-0.46980669902208,0.638894612033987,0.760018733726832,FALSE,255.011924704889,"Non Significant"
"20","003baeee41aa4741967f0925ffa9a2cf","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","Lachnum pygmaeum","Lachnum pygmaeum",3185.65773067687,0.0723898380846981,0.422677229857875,0.171265052789901,0.864151166416092,0.912563658797585,FALSE,255.029632876891,"Non Significant"
"21","6c96c907c918e9642aac8f1338171c45","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe rimosa","Inocybe rimosa",578.788762948835,-0.216429058121976,0.385010803872577,-0.56213762300968,0.574515983580597,0.708164716921098,FALSE,255.030773852591,"Non Significant"
"22","9c048c2352766ccefb8d1c1fbcc56cf6","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria",NA,"Ilyonectria",15499.6708686456,1.11883888402809,0.290827235024601,3.84709115682872,0.000151093359007532,0.000392650257803012,TRUE,255.024400273812,"DNA Enriched"
"23","ee68369cb38a3a0cf72304258cc86964","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales fam Incertae sedis",NA,NA,"Helotiales fam Incertae sedis",2341.92569881826,2.39272967668263,0.329669060212967,7.25797463412829,4.73199260494864e-12,2.75807568974149e-11,TRUE,255.038674319761,"DNA Enriched"
"24","b8a89d22d159aacd7ce1bf3147932396",NA,NA,NA,NA,NA,NA,NA,NA,50646.4440501479,-3.21196005081204,0.252723082658655,-12.7094051600753,5.37152187325832e-29,1.82631743690783e-27,TRUE,255.014251359488,"RNA Enriched"
"25","b8da17fe4e7aa46b58f7316205d0f675","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora cervina","Geopora cervina",297.278632300354,-0.201940458973127,0.288816197824926,-0.699200600568598,0.485063926292733,0.632287801685096,FALSE,255.005140856438,"Non Significant"
"26","c5f31c4a0e567b7f24f16ac1f9fda914","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycenella",NA,"Mycenella",5071.99622172466,0.997389017003934,0.355639398126293,2.80449529005711,0.00542746238227968,0.0113559212921544,TRUE,255.003585340078,"Non Significant"
"27","0011b924a4e6f30ee01068552ba3e2c5","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","Hebeloma crustuliniforme","Hebeloma crustuliniforme",2118.08014299578,0.107117687820141,0.348883078630042,0.307030333029506,0.759070855916015,0.850826673664104,FALSE,255.007399602812,"Non Significant"
"28","49d1ce6c7155e32c1a705a31610bc9c2","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula aurantioflammans","Russula aurantioflammans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","07ddf63ce37f8f7a9dd57264e29db238","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Tomentella",347.212005687932,-0.165164756019474,0.28945493730293,-0.570606110776478,0.568769070599498,0.703205396377561,FALSE,255.033108230159,"Non Significant"
"30","424eda192f03e85a2f1cbe93f8074eb5","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Hymenogaster griseus","Hymenogaster griseus",327.239403589221,-0.333103831528385,0.353265755749105,-0.942927034696679,0.346610696673345,0.495959559717494,FALSE,255.002616235049,"Non Significant"
"31","f6018fa5cbda518defd063f60aedd0ee","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","Wilcoxina rehmii","Wilcoxina rehmii",2236.35109757045,0.303129925946067,0.450558079137224,0.672787682614707,0.501691587271301,0.645710307907542,FALSE,255.002162701657,"Non Significant"
