Predictor	%IncMSE	Response	estimate	std.error	statistic	p.value
NO3Flux	6.439257298241369	Agaricomycetes	-5.688904856105787	5.055803886698556	-1.1252226121889086	0.2628276072904557
NH4Flux	0.07089262286696729	Agaricomycetes	82.09278078393145	97.98922318628566	0.8377735644241842	0.40373886758156485
CaFlux_MgFlux_SFlux	0.924519099047801	Agaricomycetes	50.43678661038196	133.00698891157893	0.3792040329843989	0.7052070644878221
KFlux	2.688876230655694	Agaricomycetes	1.0778586105505428	1.5323142516058446	0.7034187728926763	0.48305167100384405
PFlux	3.040990510466042	Agaricomycetes	-12.427130522000155	18.15393975331043	-0.6845417959335262	0.4950339438250667
FeFlux	2.0663892290640646	Agaricomycetes	68.97193311989582	154.45156611626865	0.44656027034374557	0.6563409270377096
CuFlux	2.4686669435836177	Agaricomycetes	2200.4038442645324	3471.8880314397675	0.6337773062779448	0.5274972249111101
GrassCover_FeConc	2.2436857656557954	Agaricomycetes	65.33568730502354	186.46902533912456	0.35038359419855314	0.7277076933075981
ShrubCover	-0.8477147043328691	Agaricomycetes	3.4647868392580987	18.915357018619055	0.18317321929729302	0.8557656229215402
ForbCover_PConc	1.1781251095473662	Agaricomycetes	118.57134892302415	221.8744184586978	0.5344074803517574	0.5999541571927925
pHConc_BaseSatConc	-1.253060050609835	Agaricomycetes	208.98897266498545	162.5239860401362	1.2858961791238277	0.20273358063756008
CECConc_CaConc_TOCConc	0.837449242673538	Agaricomycetes	58.69945284070514	139.20094696119864	0.4216886028589104	0.6750574962073068
KConc	6.2744457709031805	Agaricomycetes	-0.40339681215969686	1.0419176685186873	-0.38716764706871054	0.699270698130082
MgConc	0.4706769024913183	Agaricomycetes	1.3421492005788855	2.4752891391255734	0.542219161133239	0.5894922388498487
NaConc	3.4196439078241654	Agaricomycetes	43.670955901616644	53.05931025816357	0.8230592461366861	0.41258023416128864
NConc	1.87616469400743	Agaricomycetes	593.7758923010981	784.5365135186479	0.7568492760623875	0.45098274968699203
NO3Flux	0.12659609625075768	Leotiomycetes	0.9292311531401175	2.396390122932366	0.3877628872894263	0.698829336949558
NH4Flux	-1.4703711248469804	Leotiomycetes	-16.79699719432773	45.205601225640734	-0.3715689370104081	0.7108412542422993
CaFlux_MgFlux_SFlux	-1.4307360661448174	Leotiomycetes	90.29832208109352	62.00040637401062	1.456415003740118	0.14772755174926486
KFlux	2.171226577424128	Leotiomycetes	-0.6608367530165046	0.7124884070931959	-0.9275052708753264	0.3553717392349226
