Plot	Habitat	Site	Plotnum	LBC	LBCeq	pH	BaseSat	CEC	Ca	Cd	Cr	Cu	Fe	K	Mg	Mn	Mo	Na	Ni	P	Pb	Zn	C	N	TOC
RA1	R	RA	1	599	1737.1	6.76	96.83312763	26.3290686	3884.0146	0.119	<0.05	<0.26	13.8889	1249.3386	338.5582	33.1944	<0.05	11.6005	0.4762	40.9392	<0.01	2.6389	6.21	0.4075	5.59
RA2	R	RA	2	658	1908.2	6.59	94.14610817	26.72963638	4252.4593	0.1084	<0.05	<0.27	11.5786	255.5894	379.2751	23.4824	<0.05	19.9255	0.3591	40.332	0.3252	3.916	7.23	0.564	6.68
RA3	R	RA	3	535	1551.5	6.91	98.87872785	24.90653149	4165.9763	0.1253	<0.05	<0.26	11.4908	171.0224	389.7032	20.3562	<0.05	25.6069	0.4354	51.8865	<0.01	4.5646	6.03	0.4045	5.71
RA4	R	RA	4	737	2137.3	6.61	93.76817464	26.75129521	4257.6019	0.1155	<0.05	<0.27	15.4076	193.1658	385.428	27.6766	<0.05	20.4688	0.462	35.3261	<0.01	3.2745	7.03	0.4665	6.63
RA5	R	RA	5	612	1774.8	6.44	90.97157944	22.01687424	3258.5	0.1076	<0.05	<0.25	14.3861	455.8987	302.9177	22.462	<0.05	9.962	0.7089	56.462	<0.01	1.3987	4.67	0.359	4.31
RB1	R	RB	1	519	1505.1	6.62	96.28278093	30.77235911	5053.7881	0.2078	0.1247	0.277	31.1357	234.1274	445.4224	18.8227	<0.06	10.8934	0.9695	18.7396	0.1039	0.8102	7.09	0.5545	6.87
RB2	R	RB	2	570	1653	7.25	100	35.08954145	5889.6912	0.2206	0.0956	<0.29	19.9044	232.1765	597.4926	27.625	<0.06	15.3309	0.625	20.7132	<0.01	2.4779	9.38	0.672	9.25
RB3	R	RB	3	923	2676.7	7.13	100	34.86344393	5736.7828	0.1776	<0.05	<0.27	7.6434	479.5765	588.1762	17.5751	<0.05	11.127	0.3757	49.8087	<0.01	2.8415	8.71	0.6795	8.66
RB4	R	RB	4	993	2879.7	7.65	100	34.45364475	5746.1344	0.1662	0.0723	<0.29	75.4769	174.8916	622.724	33.6416	<0.06	19.5882	0.6431	42.8757	0.3468	4.4509	7.76	0.5445	7.56
RB5	R	RB	5	790	2291	7.4	100	39.36503279	6815.6784	0.1753	0.0762	<0.30	10.061	479.3902	479.5274	13.5595	<0.06	14.1159	0.4726	49.7942	<0.02	4.8095	10.36	0.7725	9.55
RC1	R	RC	1	898	2604.2	7.5	100	27.00524695	4703.7189	0.1941	<0.06	<0.31	32.0575	241.0404	330.986	57.3525	<0.06	25.3882	0.8075	44.2624	<0.02	4.9379	6.13	0.593	6.13
RC2	R	RC	2	631	1829.9	7	100	35.15340749	6063.2885	0.1731	<0.08	<0.38	34.5	549.1923	401.9519	54.3365	<0.08	18.2115	0.7019	38.9327	<0.02	4.4808	9	0.829	9.01
RC3	R	RC	3	536	1554.4	6.73	97.42220775	32.56181719	5550.1849	0.1553	<0.06	<0.30	9.4527	538.787	303.9941	22.2929	<0.06	13.0473	0.5325	48.7352	<0.01	2.034	7.41	0.841	7.25
RC4	R	RC	4	881	2554.9	6.68	94.68829251	30.78362282	5075.6831	0.2042	<0.06	<0.28	8.3803	418.8592	317.3451	17.5141	<0.06	11.8521	0.5845	86.2465	<0.01	3.1761	6.09	0.9455	5.79
RC5	R	RC	5	455	1319.5	7.35	100	30.48275317	5442.4183	0.2288	<0.07	<0.33	13.1454	174.3873	328.0801	32.4837	<0.07	20.5882	0.6699	51.0458	<0.02	5.8578	6.83	1.022	6.83
MA1	M	MA	1	659	1911.1	6.61	94.46489539	26.93098154	4287.6992	0.0824	<0.06	<0.27	12.294	448.5302	335.8173	20.9753	<0.06	12.2527	0.3777	91.3736	<0.01	1.9712	6.88	1.1015	5.95
MA2	M	MA	2	642	1861.8	6.66	94.77551356	24.2325062	3744.6803	0.0895	<0.05	<0.26	8.2737	606.0422	317.0141	15.8248	<0.05	10.8887	0.3133	76.6944	<0.01	1.6304	5.23	1.4775	5.24
MA3	M	MA	3	733	2125.7	7.09	100	31.498634	5186.3743	0.145	<0.06	<0.28	6.6091	730.3867	438.384	24.5097	<0.06	9.3785	0.2348	80.511	<0.01	3.0318	8.99	1.8095	8.17
MA4	M	MA	4	676	1960.4	6.94	99.07163332	25.33998734	4103.4197	0.136	<0.05	<0.26	9.2811	642.6554	347.6101	21.2241	<0.05	9.9028	0.3044	90.965	0.0712	2.1762	5.56	0.4305	5.25
MA5	M	MA	5	559	1621.1	7	100	26.71582484	4474.7328	0.1336	<0.05	<0.25	6.1578	507.9962	360.3817	11.7557	<0.05	8.3779	0.159	84.4211	<0.01	3.4288	6.22	0.457	6.17
MB1	M	MB	1	953	2763.7	6.5	89.81273043	27.12895719	3847.44	0.06	0.08	<0.27	13.8333	546.1333	439.2667	15.6067	<0.05	15.4467	5.2067	64.4067	<0.01	0.8	4.85	0.4765	3.9
MB2	M	MB	2	1144	3317.6	6.76	94.66962349	29.87496282	4593.836	0.0661	0.0595	<0.26	8.5714	439.7354	496.2963	14.9802	<0.05	11.5013	5.0331	48.4325	<0.01	1.4087	5.97	0.5165	5.05
MB3	M	MB	3	675	1957.5	6.69	95.67103457	28.03556691	4336.5479	0.0753	0.0685	<0.27	9.3151	417.9521	483.0548	13.7466	<0.05	9.6712	5.7534	61.7466	<0.01	1.7534	5.45	0.504	4.8
