Plot	Site	Type	PlotNum	Date Established	SiteLat	SiteLon	Site Elevation	
RA1	RA	R	1	5/13/2021	40.537028	-111.189805	2210	
RA2	RA	R	2	5/13/2021	40.537028	-111.189805	2210	
RA3	RA	R	3	5/13/2021	40.537028	-111.189805	2210	
RA4	RA	R	4	5/13/2021	40.537028	-111.189805	2210	
RA5	RA	R	5	5/13/2002	40.537028	-111.189805	2210	
RB1	RB	R	1	5/18/2021	40.527676	-111.092296	2358	
RB2	RB	R	2	5/18/2021	40.527676	-111.092296	2358	
RB3	RB	R	3	5/18/2021	40.527676	-111.092296	2358	
RB4	RB	R	4	5/18/2021	40.527676	-111.092296	2358	
RB5	RB	R	5	5/18/2021	40.527676	-111.092296	2358	
RC1	RC	R	1	5/19/2021	40.545142	-111.127101	2253	
RC2	RC	R	2	5/19/2021	40.545142	-111.127101	2253	
RC3	RC	R	3	5/19/2021	40.545142	-111.127101	2253	
RC4	RC	R	4	5/19/2021	40.545142	-111.127101	2253	
RC5	RC	R	5	5/19/2021	40.545142	-111.127101	2253	
MA1	MA	M	1	5/13/2002	40.54184	-111.178685	2298	
MA2	MA	M	2	5/13/2002	40.54184	-111.178685	2298	
MA3	MA	M	3	5/13/2002	40.54184	-111.178685	2298	
MA4	MA	M	4	5/13/2002	40.54184	-111.178685	2298	
MA5	MA	M	5	5/13/2002	40.54184	-111.178685	2298	
MB1	MB	M	1	5/14/2021	40.5452	-111.160579	2382	
MB2	MB	M	2	5/14/2021	40.5452	-111.160579	2382	
MB3	MB	M	3	5/14/2021	40.5452	-111.160579	2382	
MB4	MB	M	4	5/14/2021	40.5452	-111.160579	2382	
MB5	MB	M	5	5/14/2021	40.5452	-111.160579	2382	
MC1	MC	M	1	5/19/2021	40.54381	-111.132492	2279	
MC2	MC	M	2	5/19/2021	40.54381	-111.132492	2279	
MC3	MC	M	3	5/19/2021	40.54381	-111.132492	2279	
MC4	MC	M	4	5/19/2021	40.54381	-111.132492	2279	
MC5	MC	M	5	5/19/2021	40.54381	-111.132492	2279	
HA1	HA	H	1	5/18/2021	40.531644	-111.171487	2586	
HA2	HA	H	2	5/18/2021	40.531644	-111.171487	2586	
HA3	HA	H	3	5/18/2021	40.531644	-111.171487	2586	
HA4	HA	H	4	5/18/2021	40.531644	-111.171487	2586	
HA5	HA	H	5	5/18/2021	40.531644	-111.171487	2586	
HB1	HB	H	1	5/18/2021	40.533126	-111.165977	2549	
HB2	HB	H	2	5/18/2021	40.533126	-111.165977	2549	
HB3	HB	H	3	5/18/2021	40.533126	-111.165977	2549	
HB4	HB	H	4	5/18/2021	40.533126	-111.165977	2549	
HB5	HB	H	5	5/18/2021	40.533126	-111.165977	2549	
HC1	HC	H	1	5/19/2021	40.535051	-111.131595	2544	
HC2	HC	H	2	5/19/2021	40.535051	-111.131595	2544	
HC3	HC	H	3	5/19/2021	40.535051	-111.131595	2544	
HC4	HC	H	4	5/19/2021	40.535051	-111.131595	2544	
HC5	HC	H	5	5/19/2021	40.535051	-111.131595	2544	
