Plot	Site	SiteType	Time	NO3	NH4	Ca	Mg	K	P	Fe	Mn	Cu	Zn	B	S	Pb	Al	Cd
RA1	RA	R	August	21	1	1552	245	245	12.5	3.3	1	0.09	0.6	0.6	21.8	0.14	12.2	0
RA2	RA	R	August	20	1	1137	190	190	17.9	3.6	2.6	0.1	0.9	0	20.6	0	5.9	0.02
RA3	RA	R	August	5	1	1133	196	196	9.2	2.2	0.7	0.08	0.5	0	14.9	0.1	6	0.01
RA4	RA	R	August	9	1	1446	235	235	15.6	2.8	1.2	0.08	0.5	0.3	16.6	0.03	8.6	0.01
RA5	RA	R	August	3	1	1698	255	255	12.9	2.7	1.3	0.1	0.4	0.4	15.1	0.11	10.5	0.01
RB1	RB	R	August	4	1	1673	301	301	3.1	2.6	0.5	0.11	0.4	0	33.5	0.11	5.6	0.01
RB2	RB	R	August	7	0	2251	326	326	2.7	2.2	1.3	0.09	0.4	0	65.1	0.36	6.5	0.01
RB3	RB	R	August	131	1	2410	334	334	3.7	4.6	0.6	0.14	0.8	0.2	78.8	0.47	9.2	0.01
RB4	RB	R	August	3	0	1707	287	287	2.1	2.5	0.3	0.08	0.4	0.7	41.9	0.08	14.3	0.01
RB5	RB	R	August	2	0	1641	245	245	6	1.6	0.4	0.08	0.5	0.7	16	0.16	13.4	0.01
RC1	RC	R	August	16	0	2158	226	226	16.6	4.2	2	0.11	1.2	0.3	32.7	0.16	11.5	0.01
RC2	RC	R	August	22	0	1855	165	165	11.9	2.6	0.8	0.08	1	0	28.5	0.29	8.2	0.01
RC3	RC	R	August	32	1	1848	141	141	9.7	2.8	1.6	0.11	1.3	0	38.5	0.17	6	0.01
RC4	RC	R	August	57	1	2267	173	173	11.3	5.3	1.1	0.14	1.5	0.4	29.3	0.19	9.8	0.02
RC5	RC	R	August	23	1	2095	163	163	7.4	5.3	1.6	0.17	1.1	0	23.8	0.25	7	0.02
MA1	MA	M	August	2	1	1833	273	273	39.3	1.7	0.4	0.1	0.5	0.5	17	0.07	13.7	0.01
MA2	MA	M	August	5	1	1929	271	271	34.1	1.2	0.5	0.08	0.5	0	19.2	0.05	6.5	0.01
MA3	MA	M	August	2	1	2178	284	284	46.6	1.6	0.6	0.08	0.7	0.4	18.4	0.08	13.5	0.01
MA4	MA	M	August	2	1	1982	279	279	26.8	1.3	0.5	0.09	0.6	0.2	17.2	0	10	0.01
MA5	MA	M	August	2	1	1841	235	235	35.1	1.3	0.4	0.06	0.7	0	14.5	0.12	7.5	0.01
MB1	MB	M	August	15	1	991	204	204	18.1	1.8	0.4	0.09	0.4	1	16.8	0.1	14.3	0
MB2	MB	M	August	64	0	1133	192	192	27.5	1.3	0.4	0.09	0.5	0	18.5	0.15	5.2	0.01
MB3	MB	M	August	143	1	1168	228	228	32.1	1.8	0.9	0.11	1	0.8	28.2	0.15	14.6	0.01
MB4	MB	M	August	128	1	1647	265	265	37.2	2.4	0.7	0.14	0.8	0.3	42.1	0.41	9.8	0.01
MB5	MB	M	August	54	1	1105	197	197	24.3	1.6	0.7	0.09	0.8	0.8	15.1	0.07	12.4	0
MC1	MC	M	August	16	0	1191	197	197	18.6	2	0.8	0.11	1.4	0	12.2	0.16	9.2	0.01
MC2	MC	M	August	7	0	1845	294	294	18.3	1.5	0.5	0.08	0.6	0.3	17.2	0.16	10	0
MC3	MC	M	August	7	1	1089	211	489	15.5	1.4	0.3	0.02	0.4	1.7	17.8	0	16.4	0
MC4	MC	M	August	17	0	1179	189	493	20.6	1.2	0.3	0.04	0.4	0	15.5	0.01	5.6	0
MC5	MC	M	August	7	1	1407	201	423	22.2	1.3	0.2	0.05	0.5	0.1	18.8	0.04	5.5	0
HA1	HA	H	August	98	1	1919	232	359	17.5	1.2	0.2	0.04	0.8	0.7	33	0.07	11.3	0
HA2	HA	H	August	17	0	1063	155	508	20	1.8	0.2	0.04	0.7	0.3	15.5	0	12.2	0
HA3	HA	H	August	5	0	1168	146	639	43.5	1	0.1	0.03	1.1	0.4	12.1	0	10	0
HA4	HA	H	August	14	1	1393	214	492	40.2	1.2	0.1	0.05	0.7	0.1	21.4	0.1	5.7	0
HA5	HA	H	August	36	1	1730	243	316	21	1.5	0.1	0.05	0.9	0.9	25.3	0.1	14.6	0
HB1	HB	H	August	31	1	1500	249	641	26.3	1.5	0.5	0.04	0.7	0.4	23.3	0.03	11.8	0
HB2	HB	H	August	50	1	1704	222	382	9.4	1.7	0.9	0.04	1.1	0.1	23.2	0	8.5	0
HB3	HB	H	August	138	1	1912	208	334	8.2	2.4	0.9	0.04	2.1	0.5	28.2	0.22	13.3	0
HB4	HB	H	August	78	5	1592	169	671	19.7	1.2	0.7	0.05	1.5	0.5	33.1	0.05	8.2	0
HB5	HB	H	August	136	2	2170	200	363	7.8	2.4	1	0.04	1.6	0.6	35.5	0.23	14.3	0
HC1	HC	H	August	71	1	2250	187	189	3.5	1.7	1.1	0.06	0.7	0.5	26.1	0.02	11.2	0
HC2	HC	H	August	69	0	1589	150	213	6	1.5	1	0.03	0.7	0.4	23.7	0	8.5	0
HC3	HC	H	August	313	1	1999	185	343	9.3	2.6	6.1	0.1	1.1	0.3	61.4	0.33	7.3	0
HC4	HC	H	August	108	0	2608	200	232	9.3	1.8	1.2	0.04	0.6	1.9	23.2	0.03	16.5	0
HC5	HC	H	August	65	1	1854	201	313	18.7	1.4	2.7	0.05	0.9	0.7	28.1	0	11.7	0
RA1	RA	R	June	67	7	1336	191	151	3	4.9	2.5	0.09	0.8	0.1	13.7	0.2	7.9	0.1
RA2	RA	R	June	12	1	872	149	143	2.9	2.4	0.6	0.08	0.5	0.7	4.5	0	9.5	0
RA3	RA	R	June	11	2	1119	170	217	4.4	2.5	0.7	0.08	0.4	0.3	11.6	0	7.1	0
