sample	source	alias	Plot	Time	Site	SiteType	PlotDate	Elevation
cDNA_1	cDNA	1	RA1	August	RA	R	RA1_August	2210
cDNA_10	cDNA	10	MC5	August	MC	M	MC5_August	2279
cDNA_100	cDNA	100	MA5	October	MA	M	MA5_October	2298
cDNA_101	cDNA	101	MB1	October	MB	M	MB1_October	2382
cDNA_102	cDNA	102	MB2	October	MB	M	MB2_October	2382
cDNA_103	cDNA	103	MB3	October	MB	M	MB3_October	2382
cDNA_104	cDNA	104	MB4	October	MB	M	MB4_October	2382
cDNA_105	cDNA	105	MB5	October	MB	M	MB5_October	2382
cDNA_106	cDNA	106	RB1	October	RB	R	RB1_October	2358
cDNA_107	cDNA	107	RB2	October	RB	R	RB2_October	2358
cDNA_108	cDNA	108	RB3	October	RB	R	RB3_October	2358
cDNA_109	cDNA	109	RB4	October	RB	R	RB4_October	2358
cDNA_11	cDNA	11	RA1	June	RA	R	RA1_June	2210
cDNA_110	cDNA	110	RB5	October	RB	R	RB5_October	2358
cDNA_111	cDNA	111	RC1	October	RC	R	RC1_October	2253
cDNA_112	cDNA	112	RC2	October	RC	R	RC2_October	2253
cDNA_113	cDNA	113	RC3	October	RC	R	RC3_October	2253
cDNA_114	cDNA	114	RC4	October	RC	R	RC4_October	2253
cDNA_115	cDNA	115	RC5	October	RC	R	RC5_October	2253
cDNA_116	cDNA	116	HB1	June	HB	H	HB1_June	2549
cDNA_117	cDNA	117	HB2	June	HB	H	HB2_June	2549
cDNA_118	cDNA	118	HB3	June	HB	H	HB3_June	2549
cDNA_119	cDNA	119	HB4	June	HB	H	HB4_June	2549
cDNA_12	cDNA	12	RA2	June	RA	R	RA2_June	2210
cDNA_120	cDNA	120	HB5	June	HB	H	HB5_June	2549
cDNA_121	cDNA	121	MB1	June	MB	M	MB1_June	2382
cDNA_122	cDNA	122	MB2	June	MB	M	MB2_June	2382
cDNA_123	cDNA	123	MB3	June	MB	M	MB3_June	2382
cDNA_124	cDNA	124	MB4	June	MB	M	MB4_June	2382
cDNA_125	cDNA	125	MB5	June	MB	M	MB5_June	2382
cDNA_126	cDNA	126	RB1	June	RB	R	RB1_June	2358
cDNA_127	cDNA	127	RB2	June	RB	R	RB2_June	2358
cDNA_128	cDNA	128	RB3	June	RB	R	RB3_June	2358
cDNA_129	cDNA	129	RB4	June	RB	R	RB4_June	2358
cDNA_13	cDNA	13	RA3	June	RA	R	RA3_June	2210
cDNA_130	cDNA	130	RB5	June	RB	R	RB5_June	2358
cDNA_131	cDNA	131	RC1	June	RC	R	RC1_June	2253
cDNA_132	cDNA	132	RC2	June	RC	R	RC2_June	2253
cDNA_133	cDNA	133	RC3	June	RC	R	RC3_June	2253
cDNA_134	cDNA	134	RC4	June	RC	R	RC4_June	2253
cDNA_135	cDNA	135	RC5	June	RC	R	RC5_June	2253
cDNA_14	cDNA	14	RA4	June	RA	R	RA4_June	2210
cDNA_15	cDNA	15	RA5	June	RA	R	RA5_June	2210
cDNA_16	cDNA	16	MC1	June	MC	M	MC1_June	2279
cDNA_17	cDNA	17	MC2	June	MC	M	MC2_June	2279
cDNA_18	cDNA	18	MC3	June	MC	M	MC3_June	2279
cDNA_19	cDNA	19	MC4	June	MC	M	MC4_June	2279
cDNA_2	cDNA	2	RA2	August	RA	R	RA2_August	2210
cDNA_20	cDNA	20	MC5	June	MC	M	MC5_June	2279
cDNA_21	cDNA	21	RA1	October	RA	R	RA1_October	2210
cDNA_22	cDNA	22	RA2	October	RA	R	RA2_October	2210
cDNA_23	cDNA	23	RA3	October	RA	R	RA3_October	2210
cDNA_24	cDNA	24	RA4	October	RA	R	RA4_October	2210
cDNA_25	cDNA	25	RA5	October	RA	R	RA5_October	2210
cDNA_26	cDNA	26	MC1	October	MC	M	MC1_October	2279
cDNA_27	cDNA	27	MC2	October	MC	M	MC2_October	2279
cDNA_28	cDNA	28	MC3	October	MC	M	MC3_October	2279
cDNA_29	cDNA	29	MC4	October	MC	M	MC4_October	2279
cDNA_3	cDNA	3	RA3	August	RA	R	RA3_August	2210
cDNA_30	cDNA	30	MC5	October	MC	M	MC5_October	2279
cDNA_31	cDNA	31	HA1	June	HA	H	HA1_June	2586
cDNA_32	cDNA	32	HA2	June	HA	H	HA2_June	2586
cDNA_33	cDNA	33	HA3	June	HA	H	HA3_June	2586
cDNA_34	cDNA	34	HA4	June	HA	H	HA4_June	2586
cDNA_35	cDNA	35	HA5	June	HA	H	HA5_June	2586
cDNA_36	cDNA	36	HA1	October	HA	H	HA1_October	2586
cDNA_37	cDNA	37	HA2	October	HA	H	HA2_October	2586
cDNA_38	cDNA	38	HA3	October	HA	H	HA3_October	2586
cDNA_39	cDNA	39	HA4	October	HA	H	HA4_October	2586
cDNA_4	cDNA	4	RA4	August	RA	R	RA4_August	2210
cDNA_40	cDNA	40	HA5	October	HA	H	HA5_October	2586
cDNA_41	cDNA	41	HC1	June	HC	H	HC1_June	2544
cDNA_42	cDNA	42	HC2	June	HC	H	HC2_June	2544
cDNA_43	cDNA	43	HC3	June	HC	H	HC3_June	2544
cDNA_44	cDNA	44	HC4	June	HC	H	HC4_June	2544
cDNA_45	cDNA	45	HC5	June	HC	H	HC5_June	2544
cDNA_46	cDNA	46	MA1	June	MA	M	MA1_June	2298
cDNA_47	cDNA	47	MA2	June	MA	M	MA2_June	2298
cDNA_48	cDNA	48	MA3	June	MA	M	MA3_June	2298
cDNA_49	cDNA	49	MA4	June	MA	M	MA4_June	2298
cDNA_5	cDNA	5	RA5	August	RA	R	RA5_August	2210
cDNA_50	cDNA	50	MA5	June	MA	M	MA5_June	2298
cDNA_51	cDNA	51	HC1	August	HC	H	HC1_August	2544
cDNA_52	cDNA	52	HC2	August	HC	H	HC2_August	2544
cDNA_53	cDNA	53	HC3	August	HC	H	HC3_August	2544
cDNA_54	cDNA	54	HC4	August	HC	H	HC4_August	2544
cDNA_55	cDNA	55	HC5	August	HC	H	HC5_August	2544
cDNA_56	cDNA	56	HC1	October	HC	H	HC1_October	2544
cDNA_57	cDNA	57	HC2	October	HC	H	HC2_October	2544
cDNA_58	cDNA	58	HC3	October	HC	H	HC3_October	2544
cDNA_59	cDNA	59	HC4	October	HC	H	HC4_October	2544
cDNA_6	cDNA	6	MC1	August	MC	M	MC1_August	2279
