Plot	Site	Habitat	GrassCover	ShrubCover	ForbCover	BareCover	FernCover	WoodCover	TotalCover
HA1	HA	H	4.166666667	0	52.08333333	31.25	0	12.5	56.25
HA2	HA	H	2.083333333	0	83.33333333	14.58333333	0	0	85.41666667
HA3	HA	H	0	2.083333333	62.5	4.166666667	0	31.25	64.58333333
HA4	HA	H	0	2.083333333	62.5	20.83333333	0	14.58333333	64.58333333
HA5	HA	H	14.58333333	2.083333333	56.25	27.08333333	0	0	72.91666667
HB1	HB	H	2.083333333	12.5	39.58333333	43.75	0	2.083333333	54.16666667
HB2	HB	H	2.083333333	4.166666667	41.66666667	52.08333333	0	0	47.91666667
HB3	HB	H	4.166666667	12.5	31.25	50	0	2.083333333	47.91666667
HB4	HB	H	0	0	45.83333333	27.08333333	0	27.08333333	45.83333333
HB5	HB	H	8.333333333	25	31.25	33.33333333	0	2.083333333	64.58333333
HC1	HC	H	4.166666667	0	29.16666667	62.5	0	4.166666667	33.33333333
HC2	HC	H	14.58333333	14.58333333	25	41.66666667	0	4.166666667	54.16666667
HC3	HC	H	10.41666667	0	6.25	77.08333333	0	6.25	16.66666667
HC4	HC	H	14.58333333	0	4.166666667	81.25	0	0	18.75
HC5	HC	H	0	0	18.75	68.75	0	12.5	18.75
MA1	MA	M	2.083333333	14.58333333	47.91666667	33.33333333	0	2.083333333	64.58333333
MA2	MA	M	4.166666667	10.41666667	33.33333333	50	0	2.083333333	47.91666667
MA3	MA	M	0	22.91666667	33.33333333	29.16666667	0	14.58333333	56.25
MA4	MA	M	0	8.333333333	52.08333333	35.41666667	0	4.166666667	60.41666667
MA5	MA	M	18.75	0	45.83333333	20.83333333	0	14.58333333	64.58333333
MB1	MB	M	22.91666667	8.333333333	20.83333333	47.91666667	0	0	52.08333333
MB2	MB	M	47.91666667	8.333333333	20.83333333	22.91666667	0	0	77.08333333
MB3	MB	M	20.83333333	8.333333333	39.58333333	20.83333333	0	10.41666667	68.75
MB4	MB	M	33.33333333	0	37.5	18.75	0	10.41666667	70.83333333
MB5	MB	M	33.33333333	16.66666667	25	20.83333333	0	4.166666667	75
MC1	MC	M	10.41666667	29.16666667	2.083333333	56.25	0	2.083333333	41.66666667
MC2	MC	M	20.83333333	50	12.5	14.58333333	0	2.083333333	83.33333333
MC3	MC	M	12.5	25	4.166666667	47.91666667	0	10.41666667	41.66666667
MC4	MC	M	35.41666667	45.83333333	6.25	12.5	0	0	87.5
MC5	MC	M	58.33333333	22.91666667	6.25	10.41666667	0	2.083333333	87.5
RA1	RA	R	2.083333333	27.08333333	16.66666667	45.83333333	0	8.333333333	45.83333333
RA2	RA	R	22.91666667	39.58333333	16.66666667	20.83333333	0	0	79.16666667
RA3	RA	R	41.66666667	31.25	14.58333333	8.333333333	0	4.166666667	87.5
RA4	RA	R	14.58333333	12.5	12.5	39.58333333	0	20.83333333	39.58333333
RA5	RA	R	16.66666667	8.333333333	22.91666667	47.91666667	0	4.166666667	47.91666667
RB1	RB	R	50	0	33.33333333	6.25	10.41666667	0	93.75
RB2	RB	R	45.83333333	0	8.333333333	14.58333333	31.25	0	85.41666667
RB3	RB	R	27.08333333	4.166666667	47.91666667	20.83333333	0	0	79.16666667
RB4	RB	R	91.66666667	0	0	8.333333333	0	0	91.66666667
RB5	RB	R	79.16666667	0	6.25	12.5	0	2.083333333	85.41666667
RC1	RC	R	60.41666667	14.58333333	2.083333333	22.91666667	0	0	77.08333333
RC2	RC	R	31.25	4.166666667	8.333333333	54.16666667	0	2.083333333	43.75
RC3	RC	R	39.58333333	4.166666667	8.333333333	47.91666667	0	0	52.08333333
RC4	RC	R	43.75	2.083333333	8.333333333	43.75	0	2.083333333	54.16666667
RC5	RC	R	43.75	8.333333333	8.333333333	39.58333333	0	0	60.41666667
