otu	Domain	Phylum	Class	Order	Family	Genus	Species
f19aacd76ce862b189e5a501048532c0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	
b377d360bdce2a22cb99301ffb1ecee2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Aquilomyces	Aquilomyces patris
3782b1eec983583ae70b73271e412731	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber beyerlei
baebf8c8711f4dbb26580a8e22eb9a5c	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
7c3aef4593937c6261e78aa899046f62	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum geophilum
3b6db377eef259ab689e39034aa8e7f6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha finlandica
c5f0c3fa23ad7ecd4e399f89e3bd8901	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	
eaaa67de4db30c022d8dc22a4dd160f4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe lanatodisca
029ecf55ab2ad0aa410842867ed52db9	Fungi	Ascomycota					
2356db269765df4509d35b45b21860f6	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula fulvograminea
f014cf675662954222a5ed5d5a4023a9	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina epigaea
e2bca00a92f5ed8493b7811f0dfea657	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Sarimanas	Sarimanas shirakamiense
2372fcd063bd7ea8efdcb179841c1838	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha finlandica
af5cdc794599c44831c6127d751e0222	Fungi	Ascomycota	Sordariomycetes	Magnaporthales			
f1fd02dffe63105fa2ea2954cfef5def	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena speirea
f57721dd37945140bce8cae649ebb924							
3be527635ff438b63d2f17d0f29758d4	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula atroglauca
031cd2e28c0944baba83ec9ff6ceeea8	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genabea	Genabea cerebriformis
775bbb8702517493e8b2471f4ab520e0							
003baeee41aa4741967f0925ffa9a2cf	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum pygmaeum
6c96c907c918e9642aac8f1338171c45	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe rimosa
9c048c2352766ccefb8d1c1fbcc56cf6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	
ee68369cb38a3a0cf72304258cc86964	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales fam Incertae sedis		
b8a89d22d159aacd7ce1bf3147932396							
