"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","HighElevation_vs_MidElevation_padj","HighElevation_vs_MidElevation_log2FC","HighElevation_vs_Riparian_padj","HighElevation_vs_Riparian_log2FC","MidElevation_vs_Riparian_padj","MidElevation_vs_Riparian_log2FC","August_vs_June_padj","August_vs_June_log2FC","August_vs_October_padj","August_vs_October_log2FC","June_vs_October_padj","June_vs_October_log2FC"
"1","f19aacd76ce862b189e5a501048532c0","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",NA,0.203349832795243,-4.96244533739597,0.197338690610102,-4.84864691321522,0.999171078529587,-0.0282455415182234,0.764626812495304,-0.795538382093054,0.4817748656136,-1.65125234928815,0.738049212364222,-0.715991669891121
"2","b377d360bdce2a22cb99301ffb1ecee2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Aquilomyces","Aquilomyces patris",0.98391929650014,0.148219816197136,0.13903896409381,6.58085740250271,0.246276140398156,6.29059362060655,0.903583678859733,0.407987722893034,0.876608402955596,-0.372203943063715,0.738049212364222,-0.640469368656472
"3","3782b1eec983583ae70b73271e412731","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber beyerlei",0.63719712278958,-2.05691708599156,0.517160721490542,-2.37839185567985,0.926717139792836,-0.463518735387277,0.901594831659042,-0.526021859508487,0.918442245300502,-0.305860380265131,0.905876812079628,0.359883776543689
"4","baebf8c8711f4dbb26580a8e22eb9a5c","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,0.879992471768016,0.631474744462962,0.795930839363939,-0.986068483517909,0.697740955904188,-1.75958719367987,0.31449612290397,1.70551319514712,0.697348274647926,0.988007365843034,0.799796742079422,-0.577783532003934
"5","7c3aef4593937c6261e78aa899046f62","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum geophilum",0.681630411238191,1.14069215544804,0.455899287319236,-1.73212447766218,0.290842261491392,-3.01486059880919,0.29726045555638,1.43742025358101,0.691658134158682,0.896605373867415,0.854697106013754,-0.401092582413157
"6","3b6db377eef259ab689e39034aa8e7f6","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica",0.701418091645324,-0.599122650223529,0.948197774183786,-0.082905563448698,0.819974600654183,0.374173121075848,0.0527016895233142,0.70779986774789,0.908757518245394,0.0826002831258256,0.239846507076497,-0.485477287321721
"7","c5f0c3fa23ad7ecd4e399f89e3bd8901","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma",NA,0.203349832795243,-4.4804476339191,0.411134899541354,-2.54943815466392,0.608381862795297,1.78896551355619,0.972449957266328,-0.101436730821564,0.890970730793872,-0.363086517552321,0.957650515956522,-0.121927489429658
"8","eaaa67de4db30c022d8dc22a4dd160f4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe lanatodisca",0.671762611188201,-1.98086021898733,0.384992701223717,3.43570358058824,0.290842261491392,5.2745198338766,0.935651545984021,0.200760025537195,0.868844046337946,-0.466477245901818,0.812016350368778,-0.527514974140248
"9","029ecf55ab2ad0aa410842867ed52db9","Fungi","Ascomycota",NA,NA,NA,NA,NA,0.773209403495635,1.9184532807041,0.857300121960073,-1.02934256824061,0.601470719470441,-3.08983981464375,0.92143035911146,0.263671057067996,0.691658134158682,-0.72507440807696,0.498436062496722,-0.849023167844558
"10","2356db269765df4509d35b45b21860f6","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula fulvograminea",0.983467153342017,0.129705456246992,0.947871402752561,0.143451838221613,0.973254494778834,-0.128297583724367,0.935651545984021,0.178744814645202,0.815616526602363,-0.51073903554221,0.738049212364222,-0.549761552887079
"11","f014cf675662954222a5ed5d5a4023a9","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina epigaea",0.937667117310325,-0.371601996697951,0.52935359658254,2.13926318386348,0.586943906066406,2.36882121486245,0.199915431532544,1.17604894474123,0.0695647041241119,1.65166942580097,0.589332528666111,0.61534277835592
"12","e2bca00a92f5ed8493b7811f0dfea657","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Sarimanas","Sarimanas shirakamiense",0.717440626334946,-1.33399273011363,0.518641615986247,-1.88696184217528,0.865491458466201,-0.695013077760589,0.704670665848514,-0.504555705569446,0.90424138049627,0.195184313115058,0.417098610879025,0.839462315984847
"13","2372fcd063bd7ea8efdcb179841c1838","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica",0.770232962562022,-1.50275085819295,0.755050746166998,-1.24605378671777,0.988697600433488,0.114653105776208,0.80198910487259,-0.588528004042869,0.935805416270058,0.213512165335656,0.591242218412492,0.941762466676345
"14","af5cdc794599c44831c6127d751e0222","Fungi","Ascomycota","Sordariomycetes","Magnaporthales",NA,NA,NA,0.49389089980112,2.03307845332037,0.933085101605819,0.285389203180209,0.59110763584075,-1.88973321583914,0.296090403056351,-0.765507413868963,0.209650082391596,-0.979968261467984,0.939443155365926,-0.0747385502986885
"15","f1fd02dffe63105fa2ea2954cfef5def","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena speirea",0.790936073725851,-1.01700730091096,0.374593623853557,-2.49844760112952,0.608381862795297,-1.62348426591753,0.92143035911146,0.29777254747766,0.215849369474966,-1.90020191400853,0.105726939722813,-2.05825216418855
"16","f57721dd37945140bce8cae649ebb924",NA,NA,NA,NA,NA,NA,NA,0.843782890293329,-0.818994593416045,0.365982071604253,-2.90736943443228,0.582666950562964,-2.23041880671522,0.935651545984021,0.207151354952523,0.993041423196038,0.00869313865745346,0.971634345649301,-0.0587359189969792
"17","3be527635ff438b63d2f17d0f29758d4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula atroglauca",0.879992471768016,0.30209564228459,0.733207999418601,-0.643340361657076,0.601470719470441,-1.08747996964065,0.296090403056351,1.36909847459143,0.865258064380937,0.399489818733042,0.589332528666111,-0.829886358558057
"18","031cd2e28c0944baba83ec9ff6ceeea8","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Genabea","Genabea cerebriformis",0.181441462816262,-3.15826808173903,0.105201382544326,-3.76953189440534,0.764617395723661,-0.753307778365297,0.935651545984021,0.135692213274075,0.936058731625305,-0.126893195657499,0.939443155365926,-0.122863111421272
"19","775bbb8702517493e8b2471f4ab520e0",NA,NA,NA,NA,NA,NA,NA,0.983467153342017,-0.110586653682445,0.709922728832116,-0.596171056529324,0.731501490073853,-0.627628368545851,0.500895365481419,0.474126510690537,0.601315150033092,-0.485522279496759,0.127867094383699,-0.819926492886906
"20","003baeee41aa4741967f0925ffa9a2cf","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","Lachnum pygmaeum",0.637849295964531,1.73128432562955,0.461407310098614,-2.19124896686278,0.290842261491392,-4.0645772581913,0.844701891982869,-0.432440863758119,0.740592107709261,-0.710036985260049,0.939443155365926,-0.137873824245367
"21","6c96c907c918e9642aac8f1338171c45","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe rimosa",0.994461434537774,-0.0194922718944816,0.347990270928351,-2.23142511752197,0.422594848963915,-2.35397681132648,0.512396886911372,-0.935513286765177,0.868844046337946,-0.387833285802536,0.667942345853891,0.687402298262973
"22","9c048c2352766ccefb8d1c1fbcc56cf6","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria",NA,0.393147703682487,-2.17174306232179,0.332889649315709,-2.45106558260607,0.912074748439388,-0.421366485983257,0.500118141809151,-0.941385000094051,0.936058731625305,-0.126810580616552,0.461321320369755,0.954296716777834
"23","ee68369cb38a3a0cf72304258cc86964","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales fam Incertae sedis",NA,NA,0.879992471768016,0.510196734257717,0.531347196492532,1.70431852227984,0.763131477189685,1.05207782232313,0.98372575564478,0.019714452563436,0.665983751662686,-0.893853822962448,0.618815355355468,-0.773845978225083
"24","b8a89d22d159aacd7ce1bf3147932396",NA,NA,NA,NA,NA,NA,NA,0.983467153342017,-0.18128683796888,0.105201382544326,-5.56184044885894,0.152623823150836,-5.5225975765891,0.274737900541228,0.980677053288652,0.601315150033092,0.69255466672726,0.912074974697929,-0.148400089261071
"25","b8da17fe4e7aa46b58f7316205d0f675","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora cervina",0.474434118606301,-1.26047196100327,0.859204311305225,0.326771876858042,0.472966450113672,1.44519987216232,0.979970588489026,-0.0306983734307398,0.90424138049627,0.190701193084436,0.773723963081717,0.361121864053619
"26","c5f31c4a0e567b7f24f16ac1f9fda914","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycenella",NA,0.859073603759644,-0.683691196844091,0.767500663313138,-0.949795165985228,0.926717139792836,-0.408147934840099,0.935651545984021,0.187412412981679,0.117973078166066,-1.62696771620679,0.0583264194263432,-1.67465783188812
"27","0011b924a4e6f30ee01068552ba3e2c5","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","Hebeloma crustuliniforme",0.207881427305997,-2.67963717803552,0.189345183918215,-2.74821479442223,0.944175196566697,-0.210621582085699,0.98372575564478,0.0224240860144005,0.761540465940101,0.5528296879151,0.621568713571285,0.670127899201034
"28","49d1ce6c7155e32c1a705a31610bc9c2","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula aurantioflammans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","07ddf63ce37f8f7a9dd57264e29db238","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,0.820023069284726,0.481194730901362,0.880729896080215,-0.264692665667428,0.609956959458918,-0.887931362267778,0.547560233502209,0.659615311762697,0.815616526602363,0.366993656000418,0.914895830943925,-0.152899358461947
"30","424eda192f03e85a2f1cbe93f8074eb5","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Hymenogaster griseus",0.879481156668639,0.715247334950606,0.322409709570217,3.87317052098492,0.497825266301147,3.0158792203353,0.92143035911146,0.284014808635046,0.918442245300502,0.197345425388294,0.971634345649301,0.0530529140535982
"31","f6018fa5cbda518defd063f60aedd0ee","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","Wilcoxina rehmii",0.912873017503473,0.270337709702393,0.4711181957343,-1.46936944449541,0.4576646730926,-1.88175111989679,0.50206675664689,1.16379298275574,0.825965006187693,0.534745660957314,0.816558491913744,-0.489325024498091
"32","1d0d120881b771ed34379eb80a5622bd","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Paxillus","Paxillus involutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","d6f62f9a9f62ae49c42ac211013988a1","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",NA,0.181441462816262,-2.42494617418344,0.331171180489881,-1.53882762007105,0.679168938382866,0.744074588413411,0.296090403056351,0.864187351253525,0.697348274647926,0.490692756504086,0.854697106013754,-0.233772297449102
"34","c9fd24fe37b02ea4dd5846d06c38ede5","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma inocybeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2c8ac2741b6bc54cf1783770c98ccb55","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena leptocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","0f5b21dca3856071227eb9c1fbc1cb26","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena citrinomarginata",0.82227629512938,0.76010981363829,0.845620525418269,0.54867796998973,0.926717139792836,-0.353475809347547,0.835876664441496,-0.409006864656472,0.815616526602363,-0.436791973403558,0.944854228840352,0.111937188553247
"37","d9f8acb7ea8f0dc26444d0b0fd2263ae","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica",0.846178743287717,-0.481516097459759,0.773429712552584,-0.560162768033716,0.934148350603742,-0.220690636272943,0.704670665848514,0.5981591523187,0.481030837904732,1.09613850208818,0.666920853863885,0.637701647069818
"38","a0fa7486b23e96ef3b282fcd7e9db2e6","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena clavata",0.393147703682487,-1.79636156617017,0.949650481126598,-0.113944355634757,0.548848772405852,1.54037324483642,0.92143035911146,0.270850287739268,0.918442245300502,0.224345817173618,0.961791962116482,0.0932178267346793
"39","50e35ad0c0a1737eb62982c6b1deead1","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae",NA,NA,0.656654899454731,-2.01463166209154,0.596770951526548,-2.05133588509381,0.975434921184384,-0.17874818870126,0.762532350386375,0.579947192153861,0.815616526602363,-0.526512506125502,0.492114843784861,-0.96673740093545
"40","d08f98f6c6dd1be55ea8e2b7f4d9f700","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus micaceus",0.841780603406379,-0.932912377964264,0.365982071604253,3.18663539234816,0.340192083050178,3.97750380461344,0.92143035911146,-0.169279354611072,0.719562005977067,-0.457700537695434,0.905876812079628,-0.148698885784029
"41","773b8c6e131cd7044d0db8bfc801defa","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","5b431a1b465dd535f00cf5672a0d24c4","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Phialocephala",NA,0.983467153342017,0.162332767736807,0.332889649315709,-2.86533356277195,0.380341198321988,-3.16971029620776,0.406023000024877,1.06015923387512,0.873270221680335,0.307505178569963,0.677791547863976,-0.61293175800482
"43","1715a3324d3f0db608cb0466b816d98e","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Hymenogaster parksii",0.841780603406379,-0.641664942955135,0.603634421887366,-1.22965923900849,0.817786478281258,-0.730038261752339,0.296090403056351,1.22614009609405,0.489307021402456,-1.07499832072639,0.0201424668096041,-2.16141611951557
"44","e6eb53f0ea2d46c64bfcb646306f5019","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,0.846178743287717,1.17971465079345,0.596770951526548,2.46235475674089,0.865491458466201,1.14059614024845,0.93906495213903,0.0980786285521072,0.985820779790781,0.0337854607385381,0.94959984480956,0.0754291294867315
"45","a9c12e886f895657d0f2c2ea6f11a40d","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina incrustans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","85c7acc96f122ebcdce2809112d7b297","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius biriensis",0.626964023894541,-1.38876579657797,0.374553623785373,-2.14310183495929,0.765148930332724,-0.896380004080301,0.929215285422979,-0.212414397839028,0.541157183072021,-0.973115065602842,0.667942345853891,-0.62097837046335
"47","46379dd0f58309ce54eec2f809b0d115","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena leptophylla",0.766557161911614,0.829790403278045,0.457880119644082,1.45271508169489,0.865491458466201,0.480880712717854,0.969188716954263,-0.0885452533531761,0.665983751662686,-0.864874836394509,0.684302800842555,-0.636607285739682
"48","14b8c2c1e263a8f2f13294088fa39075","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora atra",0.656654899454731,-1.09813855101701,0.58194576364588,-1.17406795725131,0.94872279557962,-0.217973371933282,0.832236924369063,-0.471893277468937,0.489307021402456,-1.20943774667793,0.738049212364222,-0.597822171908655
"49","c32ff3237901a3beb1b1ccfae8049fdb","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","f7eabd3d14f702375f408487955123d6","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,0.373941909014215,-1.95919854113893,0.963463011595813,-0.0731133482099693,0.497825266301147,1.74404122722997,0.81151408578553,0.424223494572157,0.815616526602363,-0.426784334293954,0.589332528666111,-0.711285531565778
"51","1e399fb1ae66a41708e1c08716222ea2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe rimosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","4728dd97106701f5be9fec7ceae5a310","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cudoniella",NA,0.179897896765118,-4.09114698360902,0.168031582753759,-3.91970608019952,0.999171078529587,0.02939693771053,0.969188716954263,-0.100372635514031,0.426290868032029,-1.39270750368107,0.446817159343559,-1.15261257086683
"53","b2dd1c40b823af719b9c58ad3f8ca4ca","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala equina",0.834562641982077,0.482738199020214,0.347990270928351,1.64665222684563,0.601470719470441,1.02187006212643,0.935651545984021,-0.120598436720623,0.5271270649526,0.774354208318351,0.203523034976516,1.03467494233891
"54","ecc108d98ab48ea6a26cf89fbd81c2f3","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,0.102451582401661,-4.18032229445266,0.0102308038867298,-7.4551621802051,0.18119006446656,-3.41688385145142,0.744695786866618,-0.613502665056301,0.245487867192534,-1.5515608304939,0.597616253895806,-0.79833586813727
"55","44f06942a1f062814d26264bf6e8658b","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae",NA,NA,0.36812183618781,-1.29264679789563,0.58194576364588,-0.751303642600743,0.819974600654183,0.399299189595899,0.744695786866618,0.325921050715729,0.691658134158682,0.432232389661265,0.775988395237518,0.246033636244508
"56","64eae57a7077c2015156e3b894e1e38a","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","Lachnum pygmaeum",0.656654899454731,-1.90386942035561,0.647953129161978,-1.74115204294367,0.999171078529587,0.0206734117129279,0.648402284246623,0.63405278904869,0.253458004408077,-1.29344558246554,0.0439496167972486,-1.7877760742139
"57","2bae9ec58687bda3700d4a24c04a4258","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","Hyaloscypha finlandica",0.98391929650014,0.0756792952227369,0.768678689813021,0.730886628350248,0.881153020322376,0.513163367428526,0.799906825382461,-0.491076510657842,0.691658134158682,-0.764130028945888,0.939443155365926,-0.133331220987713
"58","77786078f3514d9a9af9aa1bb26ea506","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella fuscocinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","b4bd3c6f58a9234ea81a132259ad5b2d","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","0a72ab6809e9d5903a702e61b396242a","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","99662305c542573e4ee7bb6df4b0a9b3","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe agglutinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","a86030906e60b598b0df5384aa221c4e","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","Peziza ostracoderma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","e3251d8c47b2750165d484f3a0bedb5e","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,0.103856972911345,-3.56021980776488,0.138100625529659,-2.91314038451644,0.819974600654183,0.505035457549451,0.969188716954263,0.0799400237370579,0.936058731625305,0.150664746091812,0.905876812079628,0.210447019655021
"64","c0a5a0a68379908308b882b9b94eb6f3","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora phyllostachydis",0.841780603406379,-0.53020004657617,0.13903896409381,-3.29505748224392,0.287834970364326,-2.90690140136673,0.772277642071611,0.290439923322987,0.792743226416184,0.296207045271087,0.890919290814992,0.145489419248927
"65","bb9a26e2a569e77307e5a7954f8ccdbc","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Phragmocamarosporium",NA,0.21570356047201,-2.74684409528023,0.138100625529659,-3.69865372406464,0.660639429156494,-1.0938535944834,0.61629147166192,-0.704325905842796,0.936058731625305,-0.136680128646306,0.597616253895806,0.707368074496822
"66","5dc4586a67976f79d99afee365c07836","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora cooperi",0.98391929650014,-0.0662448040480193,0.246754961876043,-3.11180299517929,0.290842261491392,-3.18760215683026,0.764626812495304,0.525806299642287,0.90424138049627,0.23931640781468,0.937129097603983,-0.146767594527273
"67","152bbbdc7636b4c63ab60e2a81b978cd","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",NA,0.249393458572999,-0.941853561548781,2.08725438745659e-06,-2.846154496593,0.00247698388138254,-2.0463449007432,0.446409644926068,0.733699072047848,0.936058731625305,0.0877092930428719,0.625942321136076,-0.506267481704642
"68","0f5150ede6275080c690a5aeafa9509e","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella galzinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
