Response	SiteType_p_value	Time_p_value	Interaction_p_value
NO3	0.1942605412991866	1.6893899141993642e-6	0.007351747423341592
Ca	0.3890726290238498	3.101872888021997e-35	2.7581456286247852e-5
Mg	0.2067308110907261	1.3702313355158595e-41	1.4955172424773271e-4
K	0.0024687378311416867	1.9487459960428294e-8	0.0024822627531412467
P	0.03659983002193164	4.4298391493566184e-24	6.442773565436827e-8
Fe	1.7266534084691156e-5	0.05815295962275248	0.7069348212357166
Mn	0.4498472090094497	0.0042307761750145214	0.006237501305918612
S	0.16412507907398344	3.28815537658911e-21	0.0760672580844453
B	0.07218332210759934	8.387395239889763e-7	0.01305982311611335
Zn	0.3158167250896556	1.3408447448093989e-14	1.3654414719923351e-4
Al	0.31026201146921406	2.659592467258619e-4	0.3635272621297102
