Plot	HA2	HA3	HA4	HA5	HB1	HB2	HB3	HB4	HB5	HC1	HC2	HC3	HC4	HC5	MA1	MA2	MA3	MA4	MA5	MB1	MB2	MB3	MB4	MB5	MC1	MC2	MC3	MC4	MC5	RA1	RA2	RA3	RA4	RA5	RB1	RB2	RB3	RB4	RB5	RC1	RC2	RC3	RC4	RC5	HA1
HA1	30	45	60	90	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	0
HA2	0	15	30	60	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	30
HA3	15	0	15	45	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	45
HA4	30	15	0	30	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	60
HA5	60	45	30	0	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	4044.510764858274	90
HB1	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	0	30	45	60	90	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	494.5155409282344
HB2	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	30	0	15	30	60	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	494.5155409282344
HB3	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	45	15	0	15	45	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	494.5155409282344
HB4	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	60	30	15	0	30	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	494.5155409282344
HB5	494.5155409282344	494.5155409282344	494.5155409282344	494.5155409282344	90	60	45	30	0	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	3550.462416460352	494.5155409282344
