Variable	MDS1_DNA_ITS	MDS1_RNA_ITS	MDS1_DNA_16S	MDS1_RNA_16S	MDS1_DNA_ITS_rank	MDS1_RNA_ITS_rank	MDS1_DNA_16S_rank	MDS1_RNA_16S_rank	MDS2_DNA_ITS	MDS2_RNA_ITS	MDS2_DNA_16S	MDS2_RNA_16S	MDS2_DNA_ITS_rank	MDS2_RNA_ITS_rank	MDS2_DNA_16S_rank	MDS2_RNA_16S_rank
NO3Flux	5.448159068030525	2.2143307961939906	1.3468857180907712	0.8297704244210992	13	17	18	17	15.875465791050344	12.411121324326777	9.130254225967764	8.795030170176267	3	4	6	4
NH4Flux	-3.573534498397793	-1.4943607274055108	-1.8928447562473718	-2.5349704267195694	19	19	19	19	-0.19919351526102333	-0.7826554521115239	-2.2292928127257836	-0.8940291534467568	19	19	19	19
CaFlux_MgFlux_SFlux	4.1898828240881	7.00891344645728	5.255671884705133	5.483748826341838	18	14	14	15	6.576059562517214	4.920585300202702	0.7004904195739317	2.8810097360764364	13	15	16	16
KFlux	5.347818932359408	7.246674659540377	4.88824114350988	5.029666720407168	14	13	15	16	0.3104959231232026	1.917996968675001	6.0922643513345065	8.136642275451974	18	18	9	5
PFlux	4.707754634800054	4.6488259922039274	3.6435151814775497	6.41800247173067	17	15	16	13	4.45335928339899	4.786065640900033	4.382337577647735	4.117698455307447	15	16	14	13
FeFlux	22.093854071834105	18.04022062210145	12.398710439486674	10.78442889240041	2	2	10	6	6.886467803902607	6.063274610502235	4.9018786184656165	1.6590550941928155	12	13	13	17
CuFlux	5.180457730692752	1.3009663632853858	2.597153056378389	-1.022156854315161	15	18	17	18	0.9438471514032652	3.0017976792933543	-0.6814509749849071	1.4999245584881238	17	17	18	18
GrassCover_FeConc	23.77050767431553	23.44210060598027	16.787181321468672	15.350099712890161	1	1	3	2	10.089321586387436	10.412986234429233	10.148243755626128	6.404837034589623	6	7	4	10
ShrubCover	13.12431021679968	13.427775178941863	9.508854635706673	6.384237408139498	8	8	12	14	18.50164227246812	16.15284331116833	12.163227531297	7.841096488707227	2	2	3	6
ForbCover_PConc	12.944785901204417	13.918170081541634	14.797985724133357	12.59390931607028	9	6	4	3	12.144363060011694	14.393574993217749	5.966996127957177	9.570552982054085	5	3	12	3
pHConc_BaseSatConc	18.18609254488733	14.319538172694749	25.10282623216364	19.49015173531072	3	4	1	1	7.789306097007054	9.068181250583988	6.020484198558014	4.692766828654258	11	10	11	12
CECConc_CaConc_TOCConc	16.33652817737361	11.800053703093702	13.744751070963149	8.767251786151022	6	10	5	9	20.35417430068489	17.324612724523206	23.882374735066673	19.351729822014214	1	1	1	1
KConc	12.69029619964562	13.75123153788195	13.387395483847891	10.400808917465925	10	7	8	7	9.033102134124462	9.884600050068848	3.3603283202247556	7.012450818177392	9	8	15	8
MgConc	16.391601476005984	14.284912772016128	19.648623060503798	12.106273627881825	5	5	2	4	9.236760538386147	8.469477130177717	9.417497444895737	5.563597499286962	8	11	5	11
NaConc	11.140399402241583	7.817398560951833	7.725060118991395	7.130564322453331	11	11	13	12	7.972213737029775	9.86243773669687	8.2736788328423	7.815461664759533	10	9	7	7
NConc	13.970401950731231	12.458002997357559	13.054420786720703	8.724514398090443	7	9	9	10	13.919142038661578	12.20840832148607	14.016960868365194	12.81490046948068	4	5	2	2
MACmoist	4.9710640016324845	3.8096545743886736	9.777297988079814	7.236934903860381	16	16	11	11	4.433648076938088	5.473429572535694	-0.1468833941637791	3.9808168253759826	16	14	17	14
meanmoist	7.9715849188611125	7.622673852862677	13.580432082491512	9.071629874993027	12	12	6	8	5.947546612206712	10.520951817618089	6.523747049207558	6.9114496086183665	14	6	8	9
meansoiltemp	17.955130849719218	16.64771658772555	13.494217616704878	11.5185841818425	4	3	7	5	9.518556491850456	7.268938466987129	6.0680871376429835	3.0833080394189234	7	12	10	15
